Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_P,Three_P,Three_PA,Three_P_P,Two_P,Two_PA,Two_P_P,eFG_P,FT,FTA,FT_P,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,Awards,player_id,player_full_name,first_name,last_name,is_active,team_id,team_full_name,abbreviation,nickname,city,state,year_founded
295.0,Kyle Lowry,38.0,PHI,PG,16.0,10.0,350.0,25.0,67.0,0.373,18.0,51.0,0.353,7.0,16.0,0.438,0.507,15.0,19.0,0.789,6.0,27.0,33.0,47.0,17.0,5.0,13.0,30.0,83.0,0.0,,200768.0,Kyle Lowry,Kyle,Lowry,1.0,1610612755.0,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0
296.0,Kenrich Williams,30.0,OKC,PF,14.0,0.0,185.0,31.0,56.0,0.554,13.0,31.0,0.419,18.0,25.0,0.72,0.67,6.0,6.0,1.0,12.0,30.0,42.0,13.0,9.0,4.0,2.0,22.0,81.0,0.0,,1629026.0,Kenrich Williams,Kenrich,Williams,1.0,1610612760.0,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0
297.0,Oso Ighodaro,22.0,PHO,PF,18.0,2.0,319.0,35.0,57.0,0.614,0.0,0.0,,35.0,57.0,0.614,0.614,10.0,13.0,0.769,22.0,52.0,74.0,19.0,7.0,6.0,12.0,35.0,80.0,0.0,,,,,,,1610612756.0,Phoenix Suns,PHO,Suns,Phoenix,Arizona,1968.0
298.0,Luke Kornet,29.0,BOS,C,18.0,3.0,307.0,30.0,48.0,0.625,0.0,0.0,,30.0,48.0,0.625,0.625,20.0,23.0,0.87,33.0,44.0,77.0,27.0,10.0,21.0,8.0,25.0,80.0,0.0,,1628436.0,Luke Kornet,Luke,Kornet,1.0,1610612738.0,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0
299.0,Kevin Love,36.0,MIA,PF,12.0,4.0,144.0,27.0,75.0,0.36,17.0,45.0,0.378,10.0,30.0,0.333,0.473,9.0,13.0,0.692,13.0,45.0,58.0,16.0,13.0,2.0,8.0,10.0,80.0,0.0,,201567.0,Kevin Love,Kevin,Love,1.0,1610612748.0,Miami Heat,MIA,Heat,Miami,Florida,1988.0
300.0,Marvin Bagley III,25.0,WAS,C,16.0,1.0,135.0,33.0,61.0,0.541,2.0,10.0,0.2,31.0,51.0,0.608,0.557,10.0,15.0,0.667,21.0,23.0,44.0,6.0,5.0,5.0,10.0,10.0,78.0,0.0,,1628963.0,Marvin Bagley III,Marvin,Bagley III,1.0,1610612764.0,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0
301.0,Eric Gordon,36.0,PHI,SG,16.0,1.0,264.0,25.0,77.0,0.325,10.0,42.0,0.238,15.0,35.0,0.429,0.39,17.0,22.0,0.773,3.0,12.0,15.0,21.0,10.0,5.0,13.0,13.0,77.0,0.0,,201569.0,Eric Gordon,Eric,Gordon,1.0,1610612755.0,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0
302.0,Bones Hyland,24.0,LAC,PG,10.0,0.0,104.0,23.0,59.0,0.39,18.0,41.0,0.439,5.0,18.0,0.278,0.542,13.0,15.0,0.867,3.0,10.0,13.0,10.0,7.0,2.0,11.0,13.0,77.0,0.0,,1630538.0,Bones Hyland,Bones,Hyland,1.0,1610612746.0,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0
303.0,Ja'Kobe Walter,20.0,TOR,SG,11.0,4.0,201.0,30.0,84.0,0.357,8.0,40.0,0.2,22.0,44.0,0.5,0.405,9.0,13.0,0.692,10.0,26.0,36.0,17.0,6.0,2.0,11.0,22.0,77.0,0.0,,,,,,,1610612761.0,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0
304.0,Ricky Council IV,23.0,PHI,SF,17.0,0.0,200.0,25.0,61.0,0.41,7.0,27.0,0.259,18.0,34.0,0.529,0.467,18.0,21.0,0.857,5.0,21.0,26.0,14.0,3.0,3.0,4.0,12.0,75.0,0.0,,,,,,,1610612755.0,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0
305.0,Herbert Jones,26.0,NOP,SF,7.0,7.0,219.0,29.0,56.0,0.518,7.0,24.0,0.292,22.0,32.0,0.688,0.58,10.0,15.0,0.667,6.0,18.0,24.0,14.0,13.0,4.0,12.0,20.0,75.0,0.0,,1630529.0,Herbert Jones,Herbert,Jones,1.0,1610612740.0,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0
306.0,David Roddy,23.0,ATL,PF,14.0,1.0,204.0,27.0,48.0,0.563,10.0,24.0,0.417,17.0,24.0,0.708,0.667,11.0,13.0,0.846,4.0,36.0,40.0,19.0,6.0,3.0,13.0,11.0,75.0,0.0,,1631223.0,David Roddy,David,Roddy,1.0,1610612737.0,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949.0
307.0,Ben Sheppard,23.0,IND,SG,13.0,5.0,272.0,28.0,66.0,0.424,19.0,47.0,0.404,9.0,19.0,0.474,0.568,0.0,0.0,,5.0,24.0,29.0,17.0,5.0,4.0,5.0,33.0,75.0,0.0,,,,,,,1610612754.0,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0
308.0,Blake Wesley,21.0,SAS,SG,19.0,0.0,212.0,29.0,66.0,0.439,4.0,20.0,0.2,25.0,46.0,0.543,0.47,13.0,19.0,0.684,5.0,10.0,15.0,28.0,8.0,1.0,20.0,11.0,75.0,0.0,,1631104.0,Blake Wesley,Blake,Wesley,1.0,1610612759.0,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0
309.0,Pat Connaughton,32.0,MIL,SG,15.0,0.0,255.0,26.0,70.0,0.371,13.0,44.0,0.295,13.0,26.0,0.5,0.464,9.0,12.0,0.75,8.0,37.0,45.0,26.0,3.0,5.0,11.0,19.0,74.0,0.0,,1626192.0,Pat Connaughton,Pat,Connaughton,1.0,1610612749.0,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0
310.0,Rayan Rupert,20.0,POR,SG,21.0,0.0,223.0,28.0,64.0,0.438,9.0,29.0,0.31,19.0,35.0,0.543,0.508,8.0,12.0,0.667,17.0,17.0,34.0,11.0,7.0,2.0,12.0,16.0,73.0,0.0,,,,,,,1610612757.0,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0
311.0,Jaxson Hayes,24.0,LAL,C,11.0,1.0,192.0,26.0,36.0,0.722,0.0,0.0,,26.0,36.0,0.722,0.722,18.0,23.0,0.783,21.0,29.0,50.0,9.0,4.0,9.0,8.0,28.0,70.0,0.0,,1629637.0,Jaxson Hayes,Jaxson,Hayes,1.0,1610612747.0,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0
312.0,Moussa Diabaté,23.0,CHO,C,22.0,4.0,439.0,32.0,58.0,0.552,0.0,0.0,,32.0,58.0,0.552,0.552,5.0,15.0,0.333,79.0,92.0,171.0,16.0,15.0,21.0,21.0,40.0,69.0,0.0,,1631217.0,Moussa Diabate,Moussa,Diabate,1.0,1610612766.0,Charlotte Hornets,CHO,Hornets,Charlotte,North Carolina,1988.0
313.0,Gary Harris,30.0,ORL,SG,17.0,2.0,282.0,24.0,60.0,0.4,17.0,46.0,0.37,7.0,14.0,0.5,0.542,4.0,6.0,0.667,9.0,14.0,23.0,7.0,9.0,5.0,7.0,13.0,69.0,0.0,,203914.0,Gary Harris,Gary,Harris,1.0,1610612753.0,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0
314.0,Jamal Cain,25.0,NOP,SF,14.0,0.0,201.0,25.0,52.0,0.481,9.0,26.0,0.346,16.0,26.0,0.615,0.567,9.0,14.0,0.643,12.0,25.0,37.0,10.0,8.0,7.0,7.0,19.0,68.0,0.0,,1631288.0,Jamal Cain,Jamal,Cain,1.0,1610612740.0,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002.0
